Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,Mainland China,2020-02-29T12:13:10,66337,2727,28993,30.9756,112.2707
Guangdong,Mainland China,2020-02-29T15:33:03,1349,7,983,23.3417,113.4244
Henan,Mainland China,2020-02-29T12:43:05,1272,21,1170,33.882,113.614
Zhejiang,Mainland China,2020-02-29T09:13:10,1205,1,1016,29.1832,120.0934
Hunan,Mainland China,2020-02-29T15:33:03,1018,4,846,27.6104,111.7088
Anhui,Mainland China,2020-02-29T05:03:13,990,6,868,31.8257,117.2264
Jiangxi,Mainland China,2020-02-29T01:23:07,935,1,811,27.614,115.7221
Shandong,Mainland China,2020-02-29T15:33:03,756,6,421,36.3427,118.1498
Jiangsu,Mainland China,2020-02-29T07:23:11,631,0,523,32.9711,119.455
Chongqing,Mainland China,2020-02-29T23:13:06,576,6,438,30.0572,107.874
Sichuan,Mainland China,2020-02-29T12:03:07,538,3,351,30.6171,102.7103
Heilongjiang,Mainland China,2020-02-29T12:03:07,480,13,301,47.862,127.7615
Beijing,Mainland China,2020-02-29T03:33:02,411,8,271,40.1824,116.4142
Shanghai,Mainland China,2020-02-29T06:23:03,337,3,287,31.202,121.4491
Hebei,Mainland China,2020-02-29T15:33:03,318,6,282,39.549,116.1306
Fujian,Mainland China,2020-02-29T15:33:03,296,1,243,26.0789,117.9874
Guangxi,Mainland China,2020-02-29T12:03:07,252,2,176,23.8298,108.7881
Shaanxi,Mainland China,2020-02-29T09:03:06,245,1,207,35.1917,108.8701
Yunnan,Mainland China,2020-02-29T05:03:13,174,2,157,24.974,101.487
Hainan,Mainland China,2020-02-29T23:43:02,168,5,148,19.1959,109.7453
Guizhou,Mainland China,2020-02-27T00:43:02,146,2,112,26.8154,106.8748
Tianjin,Mainland China,2020-02-29T12:03:07,136,3,109,39.3054,117.323
Shanxi,Mainland China,2020-02-29T23:13:06,133,0,114,37.5777,112.2922
Liaoning,Mainland China,2020-02-29T15:33:03,121,1,96,41.2956,122.6085
Hong Kong,Hong Kong,2020-02-29T23:53:02,95,2,33,22.3,114.2
Jilin,Mainland China,2020-02-29T09:13:10,93,1,75,43.6661,126.1923
Gansu,Mainland China,2020-02-28T02:33:02,91,2,82,37.8099,101.0583
Xinjiang,Mainland China,2020-02-29T12:03:07,76,3,62,41.1129,85.2401
Inner Mongolia,Mainland China,2020-02-29T09:03:06,75,0,49,44.0935,113.9448
Ningxia,Mainland China,2020-02-29T05:53:02,73,0,69,37.2692,106.1655
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18,35.7452,95.9956
Macau,Macau,2020-02-27T12:43:02,10,0,8,22.1667,113.55
Queensland,Australia,2020-02-29T02:03:10,9,0,1,-27.4698,153.0251
British Columbia,Canada,2020-02-29T23:23:13,8,0,3,53.7267,-127.6476
Victoria,Australia,2020-02-29T02:03:10,7,0,4,-37.8136,144.9631
New South Wales,Australia,2020-02-13T17:53:03,4,0,4,-33.8688,151.2093
South Australia,Australia,2020-02-29T02:03:10,3,0,2,-34.9285,138.6007
Western Australia,Australia,2020-02-29T23:13:06,2,0,0,-31.9505,115.8605
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1,31.6927,88.0924
